,mot1,mot2,P(mot2|mot1)
184,those,differences,0.02631578947368421
185,those,systems,0.02631578947368421
186,those,downplaying,0.02631578947368421
187,those,homes,0.02631578947368421
188,those,fin,0.02631578947368421
189,those,in,0.02631578947368421
190,timetable,for,1.0
191,tonnes,of,1.0
192,tortured,media,1.0
193,trail,that,1.0
194,transaction,tax,1.0
195,travel,it,0.25
196,travel,bans,0.25
197,travel,companies,0.25
198,travel,agencies,0.25
199,traveling,violation,0.25
200,traveling,there,0.25
201,traveling,to,0.5
202,tripping,littlenumber,1.0
203,twostate,israelpalestine,1.0
204,vladimir,guerrero,0.5
205,vladimir,putin,0.5
206,waters,founder,1.0
207,wto,fin,0.5
208,wto,membership,0.5
209,ableton,live,1.0
210,aig,mess,1.0
211,auction,site,0.5
212,auction,fin,0.5
213,automaker,as,0.5
214,automaker,through,0.5
215,buttercolored,interior,1.0
216,chestnut,ridden,1.0
217,col,david,0.5
218,col,john,0.5
219,companionable,and,1.0
220,conspicuous,absence,1.0
221,conversation,uribe,0.5
222,conversation,with,0.5
223,defeated,fin,0.3333333333333333
224,defeated,portland,0.3333333333333333
225,defeated,frances,0.3333333333333333
226,distributor,diedrich,1.0
227,enhancement,to,1.0
228,excluded,for,1.0
229,facetoface,contact,0.5
230,facetoface,with,0.5
231,filled,with,1.0
232,fresnel,lens,1.0
233,glendales,numberrank,1.0
234,highest,rate,1.0
235,import,uk,0.5
236,import,trucks,0.5
237,include,public,0.14285714285714285
238,include,an,0.14285714285714285
239,include,such,0.14285714285714285
240,include,mostly,0.14285714285714285
241,include,travel,0.14285714285714285
242,include,the,0.14285714285714285
243,include,a,0.14285714285714285
244,japans,equivalent,1.0
245,launch,the,0.3333333333333333
246,launch,a,0.3333333333333333
247,launch,of,0.3333333333333333
248,littlenumberm,last,0.14285714285714285
249,littlenumberm,securitas,0.14285714285714285
250,littlenumberm,fin,0.14285714285714285
251,littlenumberm,at,0.14285714285714285
252,littlenumberm,and,0.14285714285714285
253,littlenumberm,to,0.14285714285714285
254,littlenumberm,for,0.14285714285714285
255,littlenumberyearold,aragones,0.07142857142857142
256,littlenumberyearold,son,0.07142857142857142
257,littlenumberyearold,student,0.07142857142857142
258,littlenumberyearold,boy,0.07142857142857142
259,littlenumberyearold,sister,0.07142857142857142
260,littlenumberyearold,political,0.07142857142857142
261,littlenumberyearold,startup,0.07142857142857142
262,littlenumberyearold,gang,0.07142857142857142
263,littlenumberyearold,man,0.07142857142857142
264,littlenumberyearold,cloudys,0.07142857142857142
265,littlenumberyearold,that,0.07142857142857142
266,littlenumberyearold,girl,0.07142857142857142
267,littlenumberyearold,grammywinning,0.07142857142857142
268,littlenumberyearold,has,0.07142857142857142
269,minitreaty,to,1.0
270,nights,drawing,1.0
271,oddly,not,1.0
272,often,centred,0.09090909090909091
273,often,by,0.09090909090909091
274,often,blamed,0.09090909090909091
275,often,bargain,0.09090909090909091
276,often,reach,0.09090909090909091
277,often,sangram,0.09090909090909091
278,often,called,0.09090909090909091
279,often,equated,0.09090909090909091
280,often,when,0.09090909090909091
281,often,said,0.09090909090909091
282,often,fin,0.09090909090909091
283,oosthuizen,from,1.0
284,operation,throughout,0.2
285,operation,care,0.2
286,operation,and,0.2
287,operation,to,0.2
288,operation,once,0.2
289,orrey,said,1.0
290,outgoing,sir,0.5
291,outgoing,and,0.5
292,partially,collapsed,0.5
293,partially,fin,0.5
294,parts,and,0.2
295,parts,of,0.8
296,phonenumberequarter,lengths,1.0
297,plausibly,healthy,1.0
298,pledging,to,1.0
299,positive,activities,0.25
300,positive,impact,0.25
301,positive,developments,0.25
302,positive,contributor,0.25
303,qaeda,has,0.5
304,qaeda,militancy,0.5
305,received,a,0.5
306,received,entry,0.125
307,received,six,0.125
308,received,fin,0.125
309,received,favourable,0.125
310,retailer,peets,1.0
311,sequel,fin,1.0
312,slightly,under,0.2
313,slightly,against,0.2
314,slightly,more,0.4
315,slightly,different,0.2
316,sneaking,around,1.0
317,sommelier,jon,1.0
318,staff,in,0.16666666666666666
319,staff,is,0.16666666666666666
320,staff,fin,0.16666666666666666
321,staff,metropolitan,0.16666666666666666
322,staff,and,0.3333333333333333
323,stations,to,0.5
324,stations,can,0.5
325,taking,their,0.058823529411764705
326,taking,a,0.11764705882352941
327,taking,over,0.058823529411764705
328,taking,place,0.17647058823529413
329,taking,flibanserin,0.058823529411764705
330,taking,off,0.058823529411764705
331,taking,on,0.058823529411764705
332,taking,less,0.058823529411764705
333,taking,in,0.11764705882352941
334,taking,of,0.058823529411764705
335,taking,an,0.058823529411764705
336,taking,stewardship,0.058823529411764705
337,taking,her,0.058823529411764705
338,tanweer,who,1.0
339,television,said,0.1
340,television,viewing,0.1
341,television,channels,0.1
342,television,hypnotist,0.1
343,television,distribution,0.1
344,television,journalist,0.1
345,television,reported,0.1
346,television,including,0.1
347,television,shows,0.1
348,television,and,0.1
349,worked,veterinary,0.25
350,worked,in,0.25
351,worked,fin,0.25
352,worked,with,0.25
353,wrongdoing,under,1.0
354,wva,fin,1.0
355,zfs,based,1.0
356,achieve,his,1.0
357,arguing,over,1.0
358,australia,bank,0.16666666666666666
359,australia,have,0.16666666666666666
360,australia,after,0.16666666666666666
361,australia,new,0.16666666666666666
362,australia,the,0.16666666666666666
363,australia,on,0.16666666666666666
364,belonged,to,1.0
365,bloc,on,0.5
366,bloc,of,0.5
367,breezy,slogans,0.5
368,breezy,notion,0.5
369,cable,companies,0.5
370,cable,on,0.5
371,chemistry,company,1.0
372,cia,flights,1.0
373,cofounded,fin,1.0
374,cook,or,1.0
375,cousins,wearing,1.0
376,criticised,labours,1.0
377,demjanjuk,of,1.0
378,der,brelie,1.0
379,detailing,where,1.0
380,dickson,etuhu,1.0
381,directors,and,0.25
382,directors,he,0.25
383,directors,concurrently,0.25
384,directors,effective,0.25
385,disaster,experts,1.0
386,equal,number,1.0
387,evaluation,a,1.0
388,explain,the,0.2
389,explain,one,0.2
390,explain,how,0.2
391,explain,fin,0.2
392,explain,why,0.2
393,firstterm,alaska,1.0
394,futile,but,1.0
395,greenland,fin,1.0
396,growth,in,0.25
397,growth,political,0.0625
398,growth,potential,0.0625
399,growth,cannot,0.0625
400,growth,fin,0.125
401,growth,revised,0.0625
402,growth,is,0.0625
403,growth,of,0.0625
404,growth,from,0.0625
405,growth,hormone,0.0625
406,growth,and,0.0625
407,growth,that,0.0625
408,harry,potterlike,1.0
409,hiller,fin,0.5
410,hiller,scorelittlenumber,0.5
411,iftikhar,said,1.0
412,incited,violence,1.0
413,itv,by,1.0
414,kadyrov,denied,1.0
415,krogbar,littlenumber,1.0
416,lent,his,1.0
417,magistrates,a,0.25
418,magistrates,court,0.5
419,magistrates,he,0.25
420,mame,less,1.0
421,map,littlenumber,0.5
422,map,peace,0.5
423,militancy,is,1.0
424,murky,punk,1.0
425,peaks,with,1.0
426,pensacola,florida,1.0
427,plane,that,0.3333333333333333
428,plane,broke,0.3333333333333333
429,plane,crashes,0.3333333333333333
430,reactors,under,1.0
431,schwan,a,1.0
432,sentences,despite,0.5
433,sentences,of,0.5
434,sprawling,home,1.0
435,storrie,the,1.0
436,stronghold,in,1.0
437,terrorists,did,0.3333333333333333
438,terrorists,to,0.3333333333333333
439,terrorists,said,0.3333333333333333
440,undergoing,surgery,1.0
441,velha,in,1.0
442,vinegar,mixed,1.0
443,watch,disney,0.1111111111111111
444,watch,the,0.2222222222222222
445,watch,each,0.1111111111111111
446,watch,herself,0.1111111111111111
447,watch,bill,0.1111111111111111
448,watch,how,0.1111111111111111
449,watch,from,0.1111111111111111
450,watch,on,0.1111111111111111
451,westfield,through,0.5
452,westfield,road,0.5
453,abetting,the,1.0
454,admitting,that,0.3333333333333333
455,admitting,he,0.3333333333333333
456,admitting,at,0.3333333333333333
457,alqaeda,spokesman,0.5
458,alqaeda,fin,0.5
459,antidepressant,therapy,0.5
460,antidepressant,fin,0.5
461,approached,the,1.0
462,asher,allen,1.0
463,bench,and,1.0
464,bertolli,olive,1.0
465,bonding,by,1.0
466,cardboard,and,1.0
467,chemotherapy,treatment,1.0
468,colleges,to,0.5
469,colleges,universities,0.5
470,countries,are,0.09090909090909091
471,countries,in,0.09090909090909091
472,countries,accused,0.09090909090909091
473,countries,fall,0.09090909090909091
474,countries,agree,0.09090909090909091
475,countries,on,0.09090909090909091
476,countries,such,0.09090909090909091
477,countries,surpassing,0.09090909090909091
478,countries,and,0.09090909090909091
479,countries,for,0.09090909090909091
480,countries,be,0.09090909090909091
481,covert,nuclear,1.0
482,declining,the,1.0
483,det,sgt,1.0
484,du,toubkal,1.0
485,duties,of,1.0
486,en,route,0.6666666666666666
487,en,,0.3333333333333333
488,farm,trucks,0.25
489,farm,waste,0.25
490,farm,out,0.25
491,farm,fin,0.25
492,film,director,0.08333333333333333
493,film,the,0.08333333333333333
494,film,on,0.08333333333333333
495,film,were,0.08333333333333333
496,film,and,0.16666666666666666
497,film,by,0.08333333333333333
498,film,itself,0.08333333333333333
499,film,work,0.08333333333333333
500,film,as,0.08333333333333333
501,film,fin,0.08333333333333333
502,film,career,0.08333333333333333
503,flowers,in,1.0
504,gasoline,prices,1.0
505,globally,per,1.0
506,gymnastics,venue,1.0
507,intact,but,1.0
508,intricate,genetic,1.0
509,juicy,steam,1.0
510,mideast,peace,1.0
511,mirroring,that,1.0
512,nearest,supermarket,1.0
513,oakland,is,0.5
514,oakland,raiders,0.5
515,offload,the,1.0
516,opposition,day,0.16666666666666666
517,opposition,candidate,0.16666666666666666
518,opposition,to,0.16666666666666666
519,opposition,in,0.16666666666666666
520,opposition,leader,0.16666666666666666
521,opposition,include,0.16666666666666666
522,parks,during,0.3333333333333333
523,parks,fin,0.3333333333333333
524,parks,costing,0.3333333333333333
525,pipeline,consortium,1.0
526,portugal,spain,1.0
527,prevent,water,0.16666666666666666
528,prevent,the,0.16666666666666666
529,prevent,rebels,0.16666666666666666
530,prevent,farm,0.16666666666666666
531,prevent,takeovers,0.16666666666666666
532,prevent,it,0.16666666666666666
533,providence,stadium,1.0
534,psa,test,1.0
535,ronnie,walker,1.0
536,settlement,will,0.125
537,settlement,activity,0.125
538,settlement,and,0.125
539,settlement,freeze,0.125
540,settlement,recede,0.125
541,settlement,fin,0.125
542,settlement,triggered,0.125
543,settlement,in,0.125
544,shiite,muslims,0.5
545,shiite,parties,0.5
546,shut,my,1.0
547,slow,to,0.5
548,slow,reaction,0.25
549,slow,and,0.25
550,spending,cuts,0.08333333333333333
551,spending,two,0.08333333333333333
552,spending,littlenumberlittlenumber,0.08333333333333333
553,spending,fin,0.25
554,spending,would,0.08333333333333333
555,spending,all,0.08333333333333333
556,spending,without,0.08333333333333333
557,spending,time,0.08333333333333333
558,spending,on,0.08333333333333333
559,spending,bill,0.08333333333333333
560,stomach,complaint,0.5
561,stomach,in,0.5
562,stringent,water,1.0
563,suicide,bombing,0.3333333333333333
564,suicide,prevention,0.3333333333333333
565,suicide,bomber,0.3333333333333333
566,tenapenny,but,1.0
567,terra,is,1.0
568,tiananmen,square,1.0
569,turf,fin,1.0
570,typically,heavy,0.5
571,typically,bustling,0.5
572,uefas,decision,1.0
573,valley,region,0.2
574,valley,cut,0.2
575,valley,this,0.2
576,valley,fin,0.2
577,valley,in,0.2
578,wagner,and,1.0
579,aegon,international,1.0
580,audiobook,downloads,1.0
581,battery,holds,0.3333333333333333
582,battery,several,0.3333333333333333
583,battery,by,0.3333333333333333
584,bhavans,guest,1.0
585,boost,air,0.5
586,boost,the,0.5
587,brad,stuart,1.0
588,che,are,1.0
589,chipper,jones,1.0
590,chronicling,the,1.0
591,circumstances,of,0.5
592,circumstances,might,0.5
593,constructs,temporary,1.0
594,debate,section,0.1111111111111111
595,debate,to,0.1111111111111111
596,debate,such,0.1111111111111111
597,debate,fin,0.2222222222222222
598,debate,he,0.1111111111111111
599,debate,at,0.1111111111111111
600,debate,this,0.1111111111111111
601,debate,continued,0.1111111111111111
602,diplomat,said,1.0
603,don,delillo,0.5
604,don,pasquale,0.5
605,donald,has,1.0
606,dozen,athletes,0.5
607,dozen,students,0.5
608,drives,helping,0.5
609,drives,more,0.5
610,elective,abortions,1.0
611,evil,but,0.5
612,evil,or,0.5
613,fireline,early,1.0
614,fuelling,the,1.0
615,houndstooth,check,1.0
616,infarction,and,1.0
617,israel,plans,0.2
618,israel,first,0.2
619,israel,and,0.2
620,israel,fin,0.2
621,israel,public,0.2
622,kenwright,the,1.0
623,killer,to,1.0
624,leave,us,0.16666666666666666
625,leave,australia,0.16666666666666666
626,leave,obamas,0.16666666666666666
627,leave,for,0.16666666666666666
628,leave,with,0.16666666666666666
629,leave,the,0.16666666666666666
630,littlenumberlittlenumberfoot,mountain,1.0
631,littlenumberstory,broadway,1.0
632,manipulation,because,1.0
633,mason,who,1.0
634,nowitzki,who,1.0
635,octopus,he,1.0
636,paeans,to,1.0
637,port,grapes,0.3333333333333333
638,port,alaskas,0.3333333333333333
639,port,authority,0.3333333333333333
640,ready,with,0.3333333333333333
641,ready,to,0.6666666666666666
642,rios,and,0.5
643,rios,memory,0.5
644,robertson,joked,0.3333333333333333
645,robertson,called,0.3333333333333333
646,robertson,estes,0.3333333333333333
647,shinichi,ichikawa,1.0
648,sidelines,as,1.0
649,signatures,of,1.0
650,taipei,store,1.0
651,thick,and,1.0
652,traffic,was,0.14285714285714285
653,traffic,accidents,0.14285714285714285
654,traffic,flowing,0.14285714285714285
655,traffic,jams,0.14285714285714285
656,traffic,control,0.14285714285714285
657,traffic,information,0.2857142857142857
658,trauma,to,1.0
659,ukraine,fin,1.0
660,urziceni,to,1.0
661,van,gaal,0.3333333333333333
662,van,commenee,0.3333333333333333
663,van,gisbergen,0.3333333333333333
664,wall,street,0.8
665,wall,is,0.2
666,~,littlenumber,1.0
667,among,the,0.3076923076923077
668,among,dozens,0.07692307692307693
669,among,madoffs,0.07692307692307693
670,among,british,0.07692307692307693
671,among,men,0.07692307692307693
672,among,others,0.15384615384615385
673,among,other,0.07692307692307693
674,among,agencies,0.07692307692307693
675,among,chinese,0.07692307692307693
676,basically,modi,1.0
677,begun,a,0.3333333333333333
678,begun,on,0.3333333333333333
679,begun,in,0.3333333333333333
680,broadcasters,account,1.0
681,camouflage,fatigues,1.0
682,chickens,to,1.0
683,clandestine,leadership,1.0
684,cnns,larry,1.0
685,coastline,caused,1.0
686,councillors,to,1.0
687,day,care,0.02631578947368421
688,day,with,0.05263157894736842
689,day,sunday,0.02631578947368421
690,day,can,0.02631578947368421
691,day,http,0.02631578947368421
692,day,to,0.02631578947368421
693,day,and,0.05263157894736842
694,day,debate,0.02631578947368421
695,day,earlier,0.02631578947368421
696,day,humbling,0.02631578947368421
697,day,or,0.02631578947368421
698,day,woods,0.02631578947368421
699,day,for,0.02631578947368421
700,day,by,0.02631578947368421
701,day,manjhi,0.02631578947368421
702,day,meal,0.02631578947368421
703,day,at,0.02631578947368421
704,day,of,0.07894736842105263
705,day,was,0.02631578947368421
706,day,long,0.05263157894736842
707,day,holiday,0.02631578947368421
708,day,two,0.02631578947368421
709,day,now,0.02631578947368421
710,day,when,0.02631578947368421
711,day,said,0.02631578947368421
712,day,fin,0.13157894736842105
713,day,after,0.05263157894736842
714,day,we,0.02631578947368421
715,documentation,as,1.0
716,dorans,symptoms,1.0
717,excluding,the,0.5
718,excluding,performancerelated,0.5
719,finalists,overcoming,1.0
720,flooded,conditions,0.5
721,flooded,fin,0.5
722,gant,littlenumber,1.0
723,graduate,student,0.3333333333333333
724,graduate,who,0.6666666666666666
725,groups,of,0.125
726,groups,in,0.25
727,groups,fin,0.125
728,groups,live,0.125
729,groups,condemned,0.125
730,groups,opposing,0.125
731,groups,that,0.125
732,hbos,is,1.0
733,hence,whether,1.0
734,humidity,fin,1.0
735,immunity,from,1.0
736,insistent,throbbing,1.0
737,intend,to,0.6666666666666666
738,intend,the,0.3333333333333333
739,joint,communique,0.5
740,joint,formal,0.5
741,lesbian,and,1.0
742,mcfadden,was,1.0
743,monticello,raceway,1.0
744,munichs,oktoberfest,1.0
745,nigeria,africas,1.0
746,panicky,scramble,1.0
747,placid,competed,1.0
748,preoccupied,with,1.0
749,quest,roamed,1.0
750,recommends,the,0.3333333333333333
751,recommends,a,0.3333333333333333
752,recommends,belmont,0.3333333333333333
753,rejected,the,0.3333333333333333
754,rejected,that,0.3333333333333333
755,rejected,a,0.3333333333333333
756,rica,were,0.5
757,rica,where,0.5
758,sense,to,0.25
759,sense,of,0.5
760,sense,he,0.25
761,sermon,mr,1.0
762,servicers,are,1.0
763,session,the,0.25
764,session,with,0.25
765,session,as,0.25
766,session,fin,0.25
767,sixyearold,state,1.0
768,smallscale,buildings,1.0
769,springboard,victory,1.0
770,stakes,in,1.0
771,strongest,support,1.0
772,subject,is,0.16666666666666666
773,subject,as,0.16666666666666666
774,subject,of,0.16666666666666666
775,subject,to,0.5
776,taiji,have,1.0
777,thread,eg,1.0
778,threeset,loss,1.0
779,uae,on,1.0
780,used,in,0.17647058823529413
781,used,to,0.35294117647058826
782,used,most,0.058823529411764705
783,used,mainly,0.058823529411764705
784,used,for,0.058823529411764705
785,used,or,0.058823529411764705
786,used,by,0.11764705882352941
787,used,on,0.058823529411764705
788,used,one,0.058823529411764705
789,wayne,rooney,0.5
790,wayne,drew,0.5
791,wickets,fell,1.0
792,worried,about,1.0
793,wrestled,his,1.0
794,wwwvittoriacaffecom,,1.0
795,airfield,and,1.0
796,airspace,or,1.0
797,alloy,coins,1.0
798,bbc,fin,0.4
799,bbc,the,0.2
800,bbc,personal,0.2
801,bbc,ones,0.2
802,bc,littlenumber,0.5
803,bc,to,0.5
804,breed,altogether,1.0
805,briefly,left,1.0
806,cr,fin,1.0
807,crazy,good,0.5
808,crazy,talk,0.5
809,delhi,accused,0.3333333333333333
810,delhi,university,0.3333333333333333
811,delhi,reuters,0.3333333333333333
812,dem,sweep,0.5
813,dem,votes,0.5
814,disperse,them,1.0
815,diversion,for,1.0
816,dropped,outeither,0.16666666666666666
817,dropped,littlenumberlittlenumber,0.16666666666666666
818,dropped,as,0.16666666666666666
819,dropped,on,0.16666666666666666
820,dropped,to,0.3333333333333333
821,engaged,staff,0.5
822,engaged,in,0.5
823,even,know,0.021739130434782608
824,even,more,0.13043478260869565
825,even,in,0.10869565217391304
826,even,as,0.043478260869565216
827,even,though,0.10869565217391304
828,even,seen,0.021739130434782608
829,even,have,0.021739130434782608
830,even,refer,0.021739130434782608
831,even,unsure,0.021739130434782608
832,even,if,0.06521739130434782
833,even,so,0.021739130434782608
834,even,the,0.06521739130434782
835,even,plausibly,0.021739130434782608
836,even,left,0.021739130434782608
837,even,for,0.021739130434782608
838,even,remember,0.021739130434782608
839,even,bush,0.021739130434782608
840,even,louder,0.021739130434782608
841,even,a,0.043478260869565216
842,even,mix,0.021739130434782608
843,even,mortgages,0.021739130434782608
844,even,about,0.021739130434782608
845,even,spread,0.021739130434782608
846,even,elect,0.021739130434782608
847,even,then,0.021739130434782608
848,even,posted,0.021739130434782608
849,even,been,0.021739130434782608
850,galaxies,in,1.0
851,happen,harrington,0.3333333333333333
852,happen,fin,0.3333333333333333
853,happen,with,0.3333333333333333
854,introduction,vampire,1.0
855,kevin,bacon,1.0
856,l,fabianski,1.0
857,littlenumberlittlenumberliter,turbocharged,1.0
858,makers,such,0.25
859,makers,my,0.25
860,makers,fin,0.25
861,makers,says,0.25
862,marketplace,for,0.3333333333333333
863,marketplace,workplace,0.3333333333333333
864,marketplace,the,0.3333333333333333
865,mediation,efforts,1.0
866,ministry,of,0.3333333333333333
867,ministry,had,0.3333333333333333
868,ministry,noted,0.3333333333333333
869,oktoberfest,after,1.0
870,oxenholme,and,1.0
871,piper,cites,1.0
872,pledges,that,1.0
873,pride,of,0.5
874,pride,and,0.5
875,probing,the,1.0
876,production,of,0.3333333333333333
877,production,volumes,0.16666666666666666
878,production,in,0.3333333333333333
879,production,a,0.16666666666666666
880,provocative,while,1.0
881,raised,in,0.14285714285714285
882,raised,suspicion,0.14285714285714285
883,raised,almost,0.14285714285714285
884,raised,by,0.14285714285714285
885,raised,tensions,0.14285714285714285
886,raised,or,0.14285714285714285
887,raised,nearly,0.14285714285714285
888,rushes,to,1.0
889,shaping,up,1.0
890,stimulating,a,1.0
891,stocks,opened,0.2
892,stocks,looked,0.2
893,stocks,and,0.2
894,stocks,it,0.2
895,stocks,were,0.2
896,syllabus,and,1.0
897,tokyo,know,1.0
898,unclear,but,1.0
899,acknowledged,that,1.0
900,ahead,for,0.25
901,ahead,with,0.25
902,ahead,of,0.5
903,alabama,georgia,1.0
904,army,lieutenant,0.1111111111111111
905,army,barracks,0.2222222222222222
906,army,snipers,0.1111111111111111
907,army,has,0.1111111111111111
908,army,royal,0.1111111111111111
909,army,fin,0.1111111111111111
910,army,is,0.1111111111111111
911,army,medical,0.1111111111111111
912,attempted,murder,0.2
913,attempted,to,0.6
914,attempted,jewelry,0.2
915,blocos,and,1.0
916,carter,fin,0.5
917,carter,and,0.5
918,cautioned,not,0.5
919,cautioned,he,0.5
920,claimed,seven,0.14285714285714285
921,claimed,his,0.14285714285714285
922,claimed,it,0.14285714285714285
923,claimed,the,0.14285714285714285
924,claimed,by,0.14285714285714285
925,claimed,popular,0.14285714285714285
926,claimed,for,0.14285714285714285
927,did,foresee,0.045454545454545456
928,did,so,0.09090909090909091
929,did,not,0.4090909090909091
930,did,build,0.045454545454545456
931,did,for,0.045454545454545456
932,did,a,0.045454545454545456
933,did,the,0.045454545454545456
934,did,when,0.045454545454545456
935,did,have,0.09090909090909091
936,did,in,0.045454545454545456
937,did,fin,0.045454545454545456
938,did,her,0.045454545454545456
939,earlier,that,0.1
940,earlier,saw,0.1
941,earlier,this,0.5
942,earlier,state,0.1
943,earlier,fin,0.1
944,earlier,but,0.1
945,embarrass,tory,1.0
946,erdogan,contradicted,1.0
947,escaped,from,0.5
948,escaped,trouble,0.5
949,exclusive,private,0.3333333333333333
950,exclusive,world,0.3333333333333333
951,exclusive,interview,0.3333333333333333
952,favored,president,1.0
953,fleet,are,1.0
954,generating,capacity,1.0
955,genetically,modified,1.0
956,got,an,0.15384615384615385
957,got,there,0.07692307692307693
958,got,down,0.07692307692307693
959,got,out,0.07692307692307693
960,got,married,0.07692307692307693
961,got,it,0.07692307692307693
962,got,the,0.15384615384615385
